Product Name,Code,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,,
Brother,CBRO-LC105M,DCP-J4110DW,MFC-J4310DW,MFC-J4410DW,MFC-J4510DW,MFC-J4610DW,MFC-J4710DW,MFC-J6520DW,,,,,,,
Brother,CBRO-LC105M-PT,DCP-J4110DW,MFC-J4310DW,MFC-J4410DW,MFC-J4510DW,MFC-J4610DW,MFC-J4710DW,MFC-J6520DW,,,,,,,
Brother,CBRO-LC105Y,DCP-J4110DW,MFC-J4310DW,MFC-J4410DW,MFC-J4510DW,MFC-J4610DW,MFC-J4710DW,MFC-J6520DW,,,,,,,
Brother,CBRO-LC105Y-PT,DCP-J4110DW,MFC-J4310DW,MFC-J4410DW,MFC-J4510DW,MFC-J4610DW,MFC-J4710DW,MFC-J6520DW,,,,,,,
Brother,CBRO-LC107K,DCP-J4110DW,MFC-J4410DW,MFC-J4510DW,MFC-J4610DW,MFC-J4710DW,,,,,,,,,
Brother,CBRO-LC107K-PT,DCP-J4110DW,MFC-J4410DW,MFC-J4510DW,MFC-J4610DW,MFC-J4710DW,,,,,,,,,
Brother,CBRO-LC109K,MFC-J6520DW,MFC-J6720DW,MFC-J6920DW,,,,,,,,,,,
Brother,CBRO-LC109K-PT,MFC-J6520DW,MFC-J6720DW,MFC-J6920DW,,,,,,,,,,,
Brother,CBRO-LC10EC,MFC-J6925DW ,,,,,,,,,,,,,
Brother,CBRO-LC10EK,MFC-J6925DW ,,,,,,,,,,,,,
Brother,CBRO-LC10EM,MFC-J6925DW ,,,,,,,,,,,,,
Brother,CBRO-LC10EY,MFC-J6925DW ,,,,,,,,,,,,,
Brother,CBRO-LC203C,MFC-J4320DW,MFC-J460DW,MFC-J480DW,MFC-J485DW,MFC-J680DW,MFC-J880DW,MFC-J885DW,MFC-J,,,,,,
Brother,CBRO-LC203C-PT,MFC-J4320DW,MFC-J460DW,MFC-J480DW,MFC-J485DW,MFC-J680DW,MFC-J880DW,MFC-J885DW,MFC-J,,,,,,
